seller,make,model,year,capacity,fuel,horse power,transmission,drive train,body type,doors,seats,color,state,price,serviced at aso,first owner,damaged
Private,Lexus,NX,2019,1998,Petrol,238,Automatic,4WD (permanent),SUV,5.0,5.0,White,Used,240000,True,True,False
Dealer,Audi,A4,2022,1984,Petrol,265,Automatic,4WD (permanent),Sedan,5.0,5.0,Red,New,286950,False,False,False
Dealer,Mercedes-Benz,CLA,2022,1332,Petrol,163,Automatic,4WD (automatic),Coupe,4.0,5.0,Black,Used,209133,False,False,False
Private,Volkswagen,Passat,1997,1595,Petrol,100,Manual,FWD,Sedan,5.0,5.0,Silver,Used,5500,False,False,False
Private,BMW,X1,2013,1995,Diesel,143,Automatic,4WD (permanent),SUV,5.0,5.0,Black,Used,52900,True,False,False
Private,BMW,X3 M,2020,2993,Petrol,480,Automatic,4WD (permanent),SUV,5.0,5.0,Silver,Used,235000,True,True,False
Private,Audi,A6,2005,2393,Petrol,177,Automatic,FWD,Sedan,4.0,5.0,Silver,Used,22900,False,False,False
Dealer,Suzuki,Grand Vitara,2005,1586,Petrol,106,Manual,4WD (permanent),SUV,3.0,4.0,Gold,Used,44700,True,True,False
Private,Opel,Astra,2016,1598,Diesel,160,Manual,FWD,Compact,5.0,5.0,Black,Used,49900,True,True,False
Private,BMW,X3,2007,2993,Diesel,218,Manual,4WD (permanent),SUV,5.0,5.0,Gray,Used,35900,False,False,False
Private,Citroën,C4,2012,1397,Petrol,95,Manual,,Compact,5.0,5.0,Gray,Used,22700,True,False,False
Private,Tesla,Model 3,2021,,Electric,325,Automatic,RWD,Sedan,4.0,5.0,Gray,Used,199000,False,False,False
Private,Peugeot,208,2015,1560,Diesel,75,Manual,FWD,City cars,5.0,5.0,White,Used,27900,True,False,False
Private,Mazda,6,2017,2488,Petrol,192,Automatic,FWD,Sedan,4.0,5.0,Gray,Used,79900,False,True,False
Private,Opel,Meriva,2010,1364,Petrol,120,Manual,FWD,Minivan,5.0,5.0,Gray,Used,27700,True,False,False
Dealer,Opel,Corsa,2011,1229,Petrol,86,Manual,FWD,City cars,5.0,5.0,Silver,Used,18800,True,False,False
Dealer,Audi,A4,2009,1968,Diesel,143,Manual,FWD,station wagon,5.0,5.0,Black,Used,35800,True,True,False
Dealer,Honda,CR-V,2021,1500,Petrol,190,Automatic,4WD (automatic),SUV,5.0,5.0,Red,Used,115000,False,False,False
Private,Opel,Insignia,2010,1956,Diesel,160,Automatic,FWD,station wagon,5.0,5.0,White,Used,29000,False,False,False
Dealer,Infiniti,QX50,2021,2000,Petrol,268,Automatic,4WD (automatic),SUV,5.0,5.0,Blue,Used,112000,False,False,False
Dealer,Peugeot,207 CC,2009,1598,Petrol,120,Manual,FWD,Cabriolet,2.0,4.0,Black,Used,16000,True,False,False
Private,Hyundai,i40,2012,1685,Diesel,116,Manual,FWD,station wagon,5.0,5.0,Black,Used,39900,False,False,False
Private,Citroën,C4 Picasso,2014,1997,Diesel,150,Manual,FWD,Minivan,5.0,5.0,Red,Used,41000,False,False,False
Private,Audi,80,1991,2309,Petrol,133,Automatic,,Sedan,4.0,5.0,Black,Used,10500,False,False,False
Private,Mercedes-Benz,ML,2013,2987,Diesel,258,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,94000,False,False,False
Private,Ford,Mondeo,2016,1999,Petrol,240,Automatic,FWD,Sedan,4.0,5.0,Red,Used,59400,True,False,False
Dealer,Ford,Kuga,2017,1997,Diesel,150,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,92900,True,True,False
Private,Volkswagen,Passat,2015,1968,Diesel,190,Automatic,4WD (permanent),station wagon,5.0,5.0,White,Used,69900,False,False,False
Private,Renault,Kadjar,2017,1197,Petrol,130,Manual,FWD,SUV,5.0,5.0,White,Used,65000,True,True,False
Dealer,Škoda,Fabia,2016,1197,Petrol,90,Manual,,station wagon,5.0,,Blue,Used,19900,True,False,True
Private,Opel,Corsa,2010,1398,Petrol,87,Manual,FWD,City cars,3.0,5.0,White,Used,14800,False,False,False
Private,Nissan,Micra,2015,1198,Petrol,80,Manual,,City cars,5.0,5.0,Black,Used,22900,False,False,True
Dealer,Volkswagen,Transporter,2015,1968,Diesel,102,Manual,FWD,Minivan,4.0,9.0,White,Used,78900,True,True,False
Dealer,BMW,M4,2016,3000,Petrol,425,Automatic,RWD,Coupe,2.0,4.0,Gray,Used,114000,False,False,False
Private,Mitsubishi,Colt,2004,1332,Petrol+LPG,95,Manual,FWD,City cars,5.0,5.0,Silver,Used,5900,False,False,False
Dealer,BMW,M3,2022,3000,Petrol,503,Automatic,4WD (automatic),Sedan,4.0,5.0,Red,Used,239000,False,False,False
Private,Mercedes-Benz,Klasa E,2013,3498,Petrol,306,Automatic,4WD (permanent),station wagon,5.0,7.0,Silver,Used,69500,False,False,False
Private,Kia,Optima,2012,1685,Diesel,136,Manual,FWD,Sedan,4.0,5.0,Beige,Used,40900,True,True,False
Private,Kia,Picanto,2009,1120,Diesel,75,Manual,FWD,Small cars,5.0,2.0,Other,Used,5700,True,False,False
Private,Mercedes-Benz,Klasa A,2014,1461,Diesel,109,Automatic,FWD,City cars,5.0,5.0,Red,Used,63700,False,False,False
Dealer,Audi,Q5,2016,2000,Petrol,220,Automatic,4WD (automatic),SUV,5.0,5.0,Black,Used,49000,False,False,False
Dealer,BMW,X2,2018,2000,Petrol,228,Automatic,4WD (automatic),SUV,5.0,5.0,White,Used,92000,False,False,False
